new entry "Target_ConsumeRemains"
type "SpellData"
data "SpellType" "Target"
data "Cooldown" "OncePerShortRest"
data "SpellProperties" "SwitchDeathType(Explode);RegainHitPoints(SELF,1d4+Level)"
data "TargetRadius" "1.5"
data "Requirements" "!Combat"
data "TargetConditions" "FreshCorpse() and not Tagged('CONSTRUCT') and not Player()"
data "Icon" "Spell_Necromancy_VampiricTouch"
data "DisplayName" "ha07c2b7ag951ag4734g820bg07f85d24f994;1"
data "Description" "hcecfe230g2125g41ddg9becgaa00616466f6;2"
data "DescriptionParams" "RegainHitPoints(1d4+Level)"
data "TooltipDamageList" "RegainHitPoints(1d4+Level)"
data "CastSound" "Spell_Cast_Damage_Necrotic_VampiricTouch_L4to5"
data "TargetSound" "Spell_Impact_Damage_Necrotic_VampiricTouch_L4to5"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;c17a3562-3758-4c4a-96e8-790cebed1df4,,;a8012b19-b279-45ec-89b0-86a1b73ad584,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "SpellAnimationType" "Assisting"
data "SpellAnimationIntentType" "Aggressive"
data "SpellFlags" "IsMelee"
data "PrepareEffect" "5d4a5adb-db3a-47ed-9c29-b84e09425921"
data "CastEffect" "c582c3b6-2758-4d72-81f6-e45f07519a10"
data "TargetEffect" "e7b6ad82-c85a-40ac-9781-cb85f2dffb89"
